Godot Engine v4.7.1.stable.official.a13da4feb - https://godotengine.org

======================================================================
BENCHMARK SMART TOP DOWN
  repeticiones=5  paralelo=16  aceleracion=x60 (3600 ticks/s)  semilla=20260408
  salida=res://results_v2
======================================================================

[1/16] Configuracion base=base  (p20_m0.15_gaussiana_torneo_uniforme_aleatorio_deep)
  [vs_tipo_A] sensores congelados (IV.2 del PDF): escudo_objetivo
  repeticion 1/5 completada (13 escenarios)
  repeticion 2/5 completada (13 escenarios)
  repeticion 3/5 completada (13 escenarios)
  repeticion 4/5 completada (13 escenarios)
  repeticion 5/5 completada (13 escenarios)

[2/16] Configuracion num_pobladores=10  (p10_m0.15_gaussiana_torneo_uniforme_aleatorio_deep)
  [vs_tipo_A] sensores congelados (IV.2 del PDF): escudo_objetivo
  [vs_tipo_A] gen  1/25  mejor=   49.40  medio=   24.85
  [vs_tipo_A] gen  2/25  mejor=   36.94  medio=   13.73
  [vs_tipo_A] gen  3/25  mejor=   34.65  medio=   13.38
  [vs_tipo_A] gen  4/25  mejor=   72.80  medio=   44.82
  [vs_tipo_A] gen  5/25  mejor=   48.95  medio=   29.87
  [vs_tipo_A] gen  6/25  mejor=   94.93  medio=   39.90
  [vs_tipo_A] gen  7/25  mejor=  121.68  medio=   50.04
  [vs_tipo_A] gen  8/25  mejor=   52.54  medio=   20.00
  [vs_tipo_A] gen  9/25  mejor=  217.22  medio=   66.56
  [vs_tipo_A] gen 10/25  mejor=  190.56  medio=   77.54
  [vs_tipo_A] gen 11/25  mejor=  130.15  medio=   51.28
  [vs_tipo_A] gen 12/25  mejor=  163.93  medio=   78.10
  [vs_tipo_A] gen 13/25  mejor=  127.01  medio=   43.05
  [vs_tipo_A] gen 14/25  mejor=  130.15  medio=   48.51
  [vs_tipo_A] gen 15/25  mejor=  181.91  medio=   61.23
  [vs_tipo_A] gen 16/25  mejor=  181.52  medio=   74.66
  [vs_tipo_A] gen 17/25  mejor=  111.33  medio=   54.93
  [vs_tipo_A] gen 18/25  mejor=  181.91  medio=   51.15
  [vs_tipo_A] gen 19/25  mejor=  113.63  medio=   51.91
  [vs_tipo_A] gen 20/25  mejor=  120.95  medio=   52.11
  [vs_tipo_A] gen 21/25  mejor=  181.91  medio=   79.47
  [vs_tipo_A] gen 22/25  mejor=  140.28  medio=   61.24
  [vs_tipo_A] gen 23/25  mejor=  158.72  medio=   61.51
  [vs_tipo_A] gen 24/25  mejor=  206.64  medio=   92.00
  [vs_tipo_A] gen 25/25  mejor=  136.39  medio=   81.59
  [vs_tipo_B] sin sensores congelados
  [vs_tipo_B] gen  1/25  mejor=  108.35  medio=   30.08
  [vs_tipo_B] gen  2/25  mejor=  194.66  medio=  102.56
  [vs_tipo_B] gen  3/25  mejor=  180.33  medio=   64.02
  [vs_tipo_B] gen  4/25  mejor=  185.46  medio=   96.77
  [vs_tipo_B] gen  5/25  mejor=  195.45  medio=  118.28
  [vs_tipo_B] gen  6/25  mejor=  186.09  medio=   96.75
  [vs_tipo_B] gen  7/25  mejor=  186.04  medio=  111.61
  [vs_tipo_B] gen  8/25  mejor=  196.78  medio=  122.20
  [vs_tipo_B] gen  9/25  mejor=  196.49  medio=  139.03
  [vs_tipo_B] gen 10/25  mejor=  194.52  medio=  105.85
  [vs_tipo_B] gen 11/25  mejor=  193.05  medio=   59.78
  [vs_tipo_B] gen 12/25  mejor=  195.13  medio=  101.30
  [vs_tipo_B] gen 13/25  mejor=  195.45  medio=   97.71
  [vs_tipo_B] gen 14/25  mejor=  193.05  medio=   87.38
  [vs_tipo_B] gen 15/25  mejor=  193.68  medio=   86.56
  [vs_tipo_B] gen 16/25  mejor=  193.63  medio=  110.84
  [vs_tipo_B] gen 17/25  mejor=  195.45  medio=  113.98
  [vs_tipo_B] gen 18/25  mejor=  196.27  medio=  114.71
  [vs_tipo_B] gen 19/25  mejor=  196.21  medio=   89.12
  [vs_tipo_B] gen 20/25  mejor=  200.19  medio=  133.89
  [vs_tipo_B] gen 21/25  mejor=  196.36  medio=  150.62
  [vs_tipo_B] gen 22/25  mejor=  197.63  medio=  147.24
  [vs_tipo_B] gen 23/25  mejor=  204.80  medio=  150.08
  [vs_tipo_B] gen 24/25  mejor=  199.93  medio=  131.07
  [vs_tipo_B] gen 25/25  mejor=  200.59  medio=  130.08
  [vs_tipo_C] sensores congelados (IV.2 del PDF): escudo_objetivo
  [vs_tipo_C] gen  1/25  mejor=   93.70  medio=   12.34
  [vs_tipo_C] gen  2/25  mejor=  175.90  medio=   41.47
  [vs_tipo_C] gen  3/25  mejor=  208.76  medio=   57.01
  [vs_tipo_C] gen  4/25  mejor=   94.47  medio=   21.37
  [vs_tipo_C] gen  5/25  mejor=  122.78  medio=   62.47
  [vs_tipo_C] gen  6/25  mejor=  132.86  medio=   75.48
  [vs_tipo_C] gen  7/25  mejor=  108.00  medio=   60.96
  [vs_tipo_C] gen  8/25  mejor=  121.34  medio=   74.11
  [vs_tipo_C] gen  9/25  mejor=  187.16  medio=  101.45
  [vs_tipo_C] gen 10/25  mejor=  109.46  medio=   68.29
  [vs_tipo_C] gen 11/25  mejor=   87.39  medio=   64.50
  [vs_tipo_C] gen 12/25  mejor=  144.16  medio=   97.60
  [vs_tipo_C] gen 13/25  mejor=  113.55  medio=   71.30
  [vs_tipo_C] gen 14/25  mejor=  150.41  medio=   78.70
  [vs_tipo_C] gen 15/25  mejor=  133.84  medio=  112.90
  [vs_tipo_C] gen 16/25  mejor=  187.86  medio=   96.17
  [vs_tipo_C] gen 17/25  mejor=  150.41  medio=   76.29
  [vs_tipo_C] gen 18/25  mejor=  163.73  medio=  101.42
  [vs_tipo_C] gen 19/25  mejor=  143.51  medio=  107.24
  [vs_tipo_C] gen 20/25  mejor=  162.18  medio=   93.49
  [vs_tipo_C] gen 21/25  mejor=  158.33  medio=   77.41
  [vs_tipo_C] gen 22/25  mejor=  118.82  medio=   78.24
  [vs_tipo_C] gen 23/25  mejor=  108.62  medio=   78.15
  [vs_tipo_C] gen 24/25  mejor=  190.89  medio=  111.84
  [vs_tipo_C] gen 25/25  mejor=  125.34  medio=   84.96
  [vs_humano_bot] sin sensores congelados
  [vs_humano_bot] gen  1/25  mejor=   48.27  medio=   -7.73
  [vs_humano_bot] gen  2/25  mejor=   43.19  medio=   -7.21
  [vs_humano_bot] gen  3/25  mejor=   97.49  medio=   27.48
  [vs_humano_bot] gen  4/25  mejor=   48.27  medio=   -2.73
  [vs_humano_bot] gen  5/25  mejor=   46.78  medio=    5.93
  [vs_humano_bot] gen  6/25  mejor=   97.49  medio=   33.61
  [vs_humano_bot] gen  7/25  mejor=   48.27  medio=    8.26
  [vs_humano_bot] gen  8/25  mejor=   43.19  medio=    1.02
  [vs_humano_bot] gen  9/25  mejor=  178.31  medio=   59.95
  [vs_humano_bot] gen 10/25  mejor=   67.31  medio=    5.09
  [vs_humano_bot] gen 11/25  mejor=   17.59  medio=   -7.03
  [vs_humano_bot] gen 12/25  mejor=  113.92  medio=   24.97
  [vs_humano_bot] gen 13/25  mejor=   67.31  medio=   30.31
  [vs_humano_bot] gen 14/25  mejor=   33.18  medio=    5.43
  [vs_humano_bot] gen 15/25  mejor=   75.80  medio=   31.02
  [vs_humano_bot] gen 16/25  mejor=   17.27  medio=   -3.84
  [vs_humano_bot] gen 17/25  mejor=   37.01  medio=   -2.80
  [vs_humano_bot] gen 18/25  mejor=   93.05  medio=   27.23
  [vs_humano_bot] gen 19/25  mejor=   46.86  medio=   15.57
  [vs_humano_bot] gen 20/25  mejor=   33.33  medio=   -5.14
  [vs_humano_bot] gen 21/25  mejor=   96.98  medio=   18.25
  [vs_humano_bot] gen 22/25  mejor=   41.72  medio=   -1.19
  [vs_humano_bot] gen 23/25  mejor=   40.10  medio=    2.43
  [vs_humano_bot] gen 24/25  mejor=   98.98  medio=   44.84
  [vs_humano_bot] gen 25/25  mejor=  103.99  medio=   19.55
  [vs_escolta_D] sensores congelados (IV.2 del PDF): escudo_objetivo
  [vs_escolta_D] gen  1/25  mejor=   81.29  medio=   68.97
  [vs_escolta_D] gen  2/25  mejor=   27.42  medio=   11.55
  [vs_escolta_D] gen  3/25  mejor=   76.05  medio=   61.98
  [vs_escolta_D] gen  4/25  mejor=  100.25  medio=   74.54
  [vs_escolta_D] gen  5/25  mejor=   87.85  medio=   49.86
  [vs_escolta_D] gen  6/25  mejor=   74.31  medio=   50.21
  [vs_escolta_D] gen  7/25  mejor=  156.20  medio=  114.93
  [vs_escolta_D] gen  8/25  mejor=   91.81  medio=   37.11
  [vs_escolta_D] gen  9/25  mejor=   74.31  medio=   50.77
  [vs_escolta_D] gen 10/25  mejor=  156.20  medio=   95.72
  [vs_escolta_D] gen 11/25  mejor=   87.85  medio=   50.61
  [vs_escolta_D] gen 12/25  mejor=   74.31  medio=   46.39
  [vs_escolta_D] gen 13/25  mejor=  156.20  medio=  102.26
  [vs_escolta_D] gen 14/25  mejor=   87.85  medio=   61.43
  [vs_escolta_D] gen 15/25  mejor=   74.31  medio=   51.11
  [vs_escolta_D] gen 16/25  mejor=  156.20  medio=   92.21
  [vs_escolta_D] gen 17/25  mejor=   87.85  medio=   56.16
  [vs_escolta_D] gen 18/25  mejor=   74.31  medio=   43.60
  [vs_escolta_D] gen 19/25  mejor=  156.20  medio=   98.42
  [vs_escolta_D] gen 20/25  mejor=   87.85  medio=   42.60
  [vs_escolta_D] gen 21/25  mejor=   74.31  medio=   48.32
  [vs_escolta_D] gen 22/25  mejor=  156.20  medio=   94.90
  [vs_escolta_D] gen 23/25  mejor=   87.85  medio=   61.61
  [vs_escolta_D] gen 24/25  mejor=   74.31  medio=   56.11
  [vs_escolta_D] gen 25/25  mejor=  156.20  medio=  103.06
  Entrenamiento terminado. Fitness del mejor: 156.20
  repeticion 1/5 completada (13 escenarios)
  repeticion 2/5 completada (13 escenarios)
  repeticion 3/5 completada (13 escenarios)
  repeticion 4/5 completada (13 escenarios)
  repeticion 5/5 completada (13 escenarios)

[3/16] Configuracion num_pobladores=50  (p50_m0.15_gaussiana_torneo_uniforme_aleatorio_deep)
  [vs_tipo_A] sensores congelados (IV.2 del PDF): escudo_objetivo
  [vs_tipo_A] gen  1/25  mejor=   51.34  medio=   27.88
  [vs_tipo_A] gen  2/25  mejor=   44.39  medio=   10.31
  [vs_tipo_A] gen  3/25  mejor=  114.28  medio=   12.00
  [vs_tipo_A] gen  4/25  mejor=   76.33  medio=   25.51
  [vs_tipo_A] gen  5/25  mejor=  131.87  medio=   18.12
  [vs_tipo_A] gen  6/25  mejor=  255.60  medio=   16.91
  [vs_tipo_A] gen  7/25  mejor=  152.79  medio=   26.12
  [vs_tipo_A] gen  8/25  mejor=  137.85  medio=   30.95
  [vs_tipo_A] gen  9/25  mejor=  259.17  medio=   36.12
  [vs_tipo_A] gen 10/25  mejor=  156.21  medio=   40.36
  [vs_tipo_A] gen 11/25  mejor=  217.90  medio=   43.89
  [vs_tipo_A] gen 12/25  mejor=  214.12  medio=   59.50
  [vs_tipo_A] gen 13/25  mejor=  117.51  medio=   43.44
  [vs_tipo_A] gen 14/25  mejor=  139.39  medio=   44.26
  [vs_tipo_A] gen 15/25  mejor=  240.57  medio=   73.31
  [vs_tipo_A] gen 16/25  mejor=  125.28  medio=   38.10
  [vs_tipo_A] gen 17/25  mejor=  179.04  medio=   33.35
  [vs_tipo_A] gen 18/25  mejor=  239.14  medio=   55.72
  [vs_tipo_A] gen 19/25  mejor=  147.04  medio=   52.95
  [vs_tipo_A] gen 20/25  mejor=  232.15  medio=   62.57
  [vs_tipo_A] gen 21/25  mejor=  261.87  medio=   75.81
  [vs_tipo_A] gen 22/25  mejor=  211.08  medio=   55.78
  [vs_tipo_A] gen 23/25  mejor=  232.15  medio=   67.39
  [vs_tipo_A] gen 24/25  mejor=  261.87  medio=   82.32
  [vs_tipo_A] gen 25/25  mejor=  211.08  medio=   57.53
  [vs_tipo_B] sin sensores congelados
  [vs_tipo_B] gen  1/25  mejor=  178.39  medio=   73.18
  [vs_tipo_B] gen  2/25  mejor=  181.60  medio=  120.39
  [vs_tipo_B] gen  3/25  mejor=  191.26  medio=   99.45
  [vs_tipo_B] gen  4/25  mejor=  195.37  medio=   93.11
  [vs_tipo_B] gen  5/25  mejor=  204.70  medio=   78.70
  [vs_tipo_B] gen  6/25  mejor=  199.11  medio=  112.95
  [vs_tipo_B] gen  7/25  mejor=  204.77  medio=   94.36
  [vs_tipo_B] gen  8/25  mejor=  203.74  medio=   98.71
  [vs_tipo_B] gen  9/25  mejor=  198.30  medio=   94.85
  [vs_tipo_B] gen 10/25  mejor=  198.45  medio=  100.29
  [vs_tipo_B] gen 11/25  mejor=  198.84  medio=   77.81
  [vs_tipo_B] gen 12/25  mejor=  199.83  medio=  106.17
  [vs_tipo_B] gen 13/25  mejor=  199.98  medio=  107.96
